stage,creep,x,y
1,0,1,5
1,0,3,5
2,0,1,5
2,0,3,5
2,0,5,5
3,0,1,5
3,0,3,5
3,1,2,7
4,0,5,5
4,1,7,6
4,1,5,7
5,1,2,7
5,1,4,7
6,0,0,4
6,0,2,4
6,0,4,4
6,0,6,4
7,1,1,6
7,1,3,6
7,1,5,6
8,0,2,4
8,0,4,4
8,1,2,6
8,1,4,6
9,1,1,7
9,1,3,7
9,1,5,7
9,1,7,7
10,0,0,4
10,0,3,4
10,0,6,4
10,0,1,5
10,0,4,5
11,0,1,4
11,0,3,4
11,0,5,4
11,1,1,6
11,1,3,6
11,1,5,6
12,0,3,4
12,0,5,4
12,1,1,6
12,1,3,6
12,1,5,6
12,1,7,6
13,0,3,4
13,1,0,6
13,1,7,6
13,1,1,7
13,1,3,7
13,1,5,7
14,0,0,4
14,0,2,4
14,0,4,4
14,0,6,4
14,0,0,5
14,0,2,5
14,0,4,5
14,0,6,5
15,0,0,6
15,0,1,6
15,0,2,6
15,0,3,6
15,0,4,6
15,0,4,7
15,1,0,7
15,1,1,7
15,1,2,7
15,1,3,7
