name,gold,spieces,classes,grade,maxHp,hp,maxMp,mp,attackDamage,attackSpeed,attackRange,moveSpeed
a_warrior,1,human,warrior,1,100,100,100,0,10,1,1,1
a_marksman,1,human,marksman,1,80,80,100,0,12,1.5,2,1.5
1-c,1,human,warrior,1,100,100,100,0,10,1,1,1
1-d,1,human,marksman,1,80,80,100,0,12,1.5,2,1.5
1-e,1,human,warrior,1,100,100,100,0,10,1,1,1
2-a,2,human,marksman,1,80,80,100,0,12,1.5,2,1.5
2-b,2,human,warrior,1,100,100,100,0,10,1,1,1
2-c,2,human,marksman,1,80,80,100,0,12,1.5,2,1.5
2-d,2,human,warrior,1,100,100,100,0,10,1,1,1
2-e,2,human,marksman,1,80,80,100,0,12,1.5,2,1.5
3-a,3,human,warrior,1,100,100,100,0,10,1,1,1
3-b,3,human,marksman,1,80,80,100,0,12,1.5,2,1.5
3-c,3,human,warrior,1,100,100,100,0,10,1,1,1
3-d,3,human,marksman,1,80,80,100,0,12,1.5,2,1.5
3-e,3,human,warrior,1,100,100,100,0,10,1,1,1
4-a,4,human,marksman,1,80,80,100,0,12,1.5,2,1.5
4-b,4,human,warrior,1,100,100,100,0,10,1,1,1
4-c,4,human,marksman,1,80,80,100,0,12,1.5,2,1.5
4-d,4,human,warrior,1,100,100,100,0,10,1,1,1
4-e,4,human,marksman,1,80,80,100,0,12,1.5,2,1.5
5-a,5,human,warrior,1,100,100,100,0,10,1,1,1
5-b,5,human,marksman,1,80,80,100,0,12,1.5,2,1.5
5-c,5,human,warrior,1,100,100,100,0,10,1,1,1
5-d,5,human,marksman,1,80,80,100,0,12,1.5,2,1.5
5-e,5,human,warrior,1,100,100,100,0,10,1,1,1
