name,synergy,gold,tier,maxHp,hp,maxMp,mp,attack,attackSpeed
1-a,a,1,1,100,100,100,0,5,1
1-b,b,1,1,100,100,100,0,5,1
1-c,c,1,1,100,100,100,0,5,1
1-d,d,1,1,100,100,100,0,5,1
1-e,e,1,1,100,100,100,0,5,1
2-a,a,2,1,200,200,100,0,10,1
2-b,b,2,1,200,200,100,0,10,1
2-c,c,2,1,200,200,100,0,10,1
2-d,d,2,1,200,200,100,0,10,1
2-e,e,2,1,200,200,100,0,10,1
3-a,a,3,1,300,300,100,0,15,1
3-b,b,3,1,300,300,100,0,15,1
3-c,c,3,1,300,300,100,0,15,1
3-d,d,3,1,300,300,100,0,15,1
3-e,e,3,1,300,300,100,0,15,1
4-a,a,4,1,400,400,100,0,20,1
4-b,b,4,1,400,400,100,0,20,1
4-c,c,4,1,400,400,100,0,20,1
4-d,d,4,1,400,400,100,0,20,1
4-e,e,4,1,400,400,100,0,20,1
5-a,a,5,1,500,500,100,0,25,1
5-b,b,5,1,500,500,100,0,25,1
5-c,c,5,1,500,500,100,0,25,1
5-d,d,5,1,500,500,100,0,25,1
5-e,e,5,1,500,500,100,0,25,1
